#Position (1/cm)	Attenuation
1600	0.402083496126446
1601	0.418992956496085
1602	0.412626641058029
1603	0.394320122340532
1604	0.399401016769337
1605	0.413042338442535
1606	0.425170235316354
1607	0.421035472823866
1608	0.470528757285077
1609	0.419662345985876
1610	0.437993945227928
1611	0.431590076487517
1612	0.429527202467317
1613	0.463844880077517
1614	0.537147305792062
1615	0.614458628584397
1616	0.570161275855518
1617	0.507293268456734
1618	0.461569579815009
1619	0.508933833785461
1620	0.498943461681173
1621	0.560972220360876
1622	0.635567353491904
1623	0.588875960523022
1624	0.542635643808302
1625	0.524160707346997
1626	0.596888041532294
1627	0.621285539232904
1628	0.547181172896701
1629	0.496589228592169
1630	0.513800755062573
1631	0.513637701296105
1632	0.512302638164871
1633	0.577246846306863
1634	0.64547123256796
1635	0.643589824203528
1636	0.574986627460098
1637	0.510140404867841
1638	0.487131322667788
1639	0.468118760706994
1640	0.430442743244307
1641	0.43780788815071
1642	0.455443791547587
1643	0.495516342475878
1644	0.558834586696058
1645	0.614511654226373
1646	0.539967655598411
1647	0.46771218644884
1648	0.407771045697489
1649	0.463746516104529
1650	0.537632810473681
1651	0.614255426757301
1652	0.545675192412261
1653	0.478154415670499
1654	0.413996767388495
1655	0.399584501514185
1656	0.379689159749586
1657	0.432198968551985
1658	0.423509031542265
1659	0.406002235968466
1660	0.406002235968466
1661	0.194034216388866
1662	0.183048360686635
1663	0.14255796840525
1664	0.136395685666984
1665	0.128722219365807
1666	0.131240849994738
1667	0.149407524695965
1668	0.190614087110357
1669	0.182618247037829
1670	0.141266139380284
1671	0.146591329397232
1672	0.108060753569255
1673	0.109982264592665
1674	0.147809837430788
1675	0.131578516667608
1676	0.096679589317652
1677	0.0957460493681479
1678	0.0930023395497863
1679	0.11638499346596
1680	0.0999318827109408
1681	0.0939140799863679
1682	0.118584052759925
1683	0.152728701495952
1684	0.151376347596554
1685	0.119352141367699
1686	0.0846425016566568
1687	0.0919397603669049
1688	0.0834510670159834
1689	0.0883107700705675
1690	0.0814982264978597
1691	0.0706118239954611
1692	0.0700893871958621
1693	0.0717368456170037
1694	0.0867762816053361
1695	0.127877138657077
1696	0.113234332037566
1697	0.078092426608329
1698	0.1020972367947
1699	0.147208910078408
1700	0.153927844392408
