#cm^-1	mean
770	6.517945803352633e-5
771	6.393207295332103e-5
772	6.555636682605836e-5
773	6.199142808327451e-5
774	6.473955254477914e-5
775	7.025727245491001e-5
776	6.714392256981227e-5
777	6.328786876110825e-5
778	6.641680411121343e-5
779	6.879196444060653e-5
780	6.963114865357056e-5
781	7.504907771362923e-5
782	7.486300019081684e-5
783	7.511114054068458e-5
784	7.357596259680577e-5
785	7.303338134079242e-5
786	7.525689288740977e-5
787	7.609664098708891e-5
788	7.712647711741739e-5
789	7.905936618044513e-5
790	8.082875792752019e-5
791	8.023457085073458e-5
792	7.852086964703631e-5
793	8.026491086639001e-5
794	8.129519483190961e-5
795	8.568986449972724e-5
796	7.893078582128516e-5
797	8.11529498605523e-5
798	8.809780665615108e-5
799	8.61029391671764e-5
800	0.0001001706164970529
801	0.0001018374372506515
802	0.0001011534535791725
803	9.644013625802479e-5
804	0.0001073124643880874
805	9.809031398617665e-5
806	0.0001155914222181309
807	0.0001090891208150424
808	0.0001029557366564404
809	0.0001026895464747213
810	0.0001026464815367945
811	0.0001033314074447844
812	9.559040190652024e-5
813	9.276709752157331e-5
814	9.421578652109023e-5
815	9.425633725186356e-5
816	9.527066649752668e-5
817	9.577452001394696e-5
818	9.379128532600587e-5
819	9.413441948709082e-5
820	0.0001021556221530773
821	9.041412195074371e-5
822	9.357142334920347e-5
823	9.842185099842029e-5
824	9.262795283575544e-5
825	8.667885340400969e-5
826	8.604980976087977e-5
827	9.259716607630254e-5
828	8.759289776207879e-5
829	8.980004713521336e-5
830	8.802055090200148e-5
831	9.264740219805391e-5
832	8.745983213884757e-5
833	9.108808735618368e-5
834	8.274309730040843e-5
835	8.732044734642843e-5
836	8.134535964927636e-5
837	8.331224817084148e-5
838	8.790409083303531e-5
839	8.698944802745245e-5
840	8.390697985305452e-5
841	8.639824409328864e-5
842	8.764199956203816e-5
843	8.721541671548036e-5
844	8.839978909236379e-5
845	9.230523573933167e-5
846	8.303719077957794e-5
847	8.567266922909765e-5
848	8.685932552907614e-5
849	7.714693310845176e-5
850	8.09590572316665e-5
851	8.402257662964985e-5
852	8.221321695600636e-5
853	8.220932140829975e-5
854	8.679705861140975e-5
855	8.131224822136574e-5
856	8.530771483492567e-5
857	8.724342405912467e-5
858	8.594384125899526e-5
859	8.277501765405764e-5
860	8.630067532067186e-5
861	8.714244031580163e-5
862	8.63302389916498e-5
863	8.978172045317485e-5
864	8.607333002146339e-5
865	8.215313137043273e-5
866	8.022842739592306e-5
867	8.722268903511579e-5
868	8.229204249801114e-5
869	7.905809434305414e-5
870	8.36171286209719e-5
871	7.952920059324242e-5
872	7.680795606574976e-5
873	7.787303657096347e-5
874	8.007579672266729e-5
875	8.155430768965743e-5
876	8.277981687569994e-5
877	8.272212144220246e-5
878	8.24459726572968e-5
879	7.733885868219661e-5
880	8.148716697178319e-5
881	8.111955430649688e-5
882	8.278841414721689e-5
883	7.931016334623562e-5
884	7.629883948538918e-5
885	7.932092521514279e-5
