#cm^-1	mean 221006CaF2
1149	9.26E-05
1150	8.35E-05
1151	8.25E-05
1152	9.21E-05
1153	8.81E-05
1154	8.25E-05
1155	8.80E-05
1156	9.13E-05
1157	8.36E-05
1158	9.10E-05
1159	8.54E-05
1160	8.74E-05
1161	8.55E-05
1162	9.20E-05
1163	8.96E-05
1164	8.66E-05
1165	9.12E-05
1166	8.68E-05
1167	9.22E-05
1168	8.54E-05
1169	8.82E-05
1170	8.84E-05
1171	8.95E-05
1172	8.84E-05
1173	8.56E-05
1174	8.92E-05
1175	8.66E-05
1176	8.96E-05
1177	9.21E-05
1178	8.83E-05
1179	9.15E-05
1180	9.06E-05
1181	8.74E-05
1182	9.18E-05
1183	9.41E-05
1184	8.67E-05
1185	8.94E-05
1186	9.19E-05
1187	9.02E-05
1188	9.19E-05
1189	8.70E-05
1190	9.39E-05
1191	8.95E-05
1192	9.23E-05
1193	8.78E-05
1194	8.98E-05
1195	8.70E-05
1196	9.19E-05
1197	8.74E-05
1198	9.29E-05
1199	9.03E-05
1200	9.10E-05
1201	8.75E-05
1202	9.18E-05
1203	8.92E-05
1204	8.77E-05
1205	9.15E-05
1206	8.72E-05
1207	8.56E-05
1208	9.08E-05
1209	9.11E-05
1210	8.58E-05
1211	8.81E-05
1212	8.42E-05
1213	8.75E-05
1214	8.37E-05
1215	8.17E-05
1216	8.74E-05
1217	8.86E-05
1218	8.78E-05
1219	8.95E-05
1220	9.01E-05
1221	9.18E-05
1222	8.49E-05
1223	9.35E-05
1224	8.52E-05
1225	8.85E-05
1226	8.46E-05
1227	8.83E-05
1228	8.94E-05
1229	8.82E-05
1230	9.29E-05
1231	8.99E-05
1232	9.01E-05
1233	9.16E-05
1234	8.43E-05
1235	9.35E-05
1236	9.09E-05
1237	8.92E-05
1238	8.65E-05
1239	8.72E-05
1240	8.87E-05
1241	9.04E-05
1242	8.59E-05
1243	9.59E-05
1244	9.44E-05
1245	9.46E-05
1246	8.92E-05
1247	9.29E-05
1248	9.37E-05
1249	8.84E-05
1250	8.84E-05
1251	8.98E-05
1252	8.81E-05
1253	9.06E-05
1254	9.28E-05
1255	9.09E-05
1256	9.37E-05
1257	9.46E-05
1258	9.17E-05
1259	9.85E-05
1260	0.000102345
1261	9.79E-05
1262	9.39E-05
1263	9.46E-05
1264	9.33E-05
1265	9.40E-05
1266	9.12E-05
1267	9.22E-05
1268	9.01E-05
1269	0.000101445
1270	9.72E-05
1271	9.59E-05
1272	9.74E-05
1273	9.34E-05
1274	8.88E-05
1275	8.74E-05
1276	9.02E-05
1277	9.66E-05
1278	9.76E-05
1279	9.35E-05
1280	0.000100538
1281	9.78E-05
1282	9.74E-05
1283	9.57E-05
1284	8.82E-05
1285	8.97E-05
1286	9.19E-05
1287	8.81E-05
1288	8.83E-05
1289	9.03E-05
1290	8.58E-05
1291	9.14E-05
1292	8.81E-05
1293	9.00E-05
1294	9.16E-05
1295	9.23E-05
1296	9.21E-05
1297	9.65E-05
1298	8.98E-05
1299	9.42E-05
1300	9.08E-05
1301	8.89E-05
1302	8.46E-05
1303	8.87E-05
1304	9.42E-05
1305	8.99E-05
1306	8.97E-05
1307	9.96E-05
1308	9.82E-05
1309	9.49E-05
1310	9.39E-05
